时间,实际电流
2018/9/17 0:00,47.2
2018/9/17 0:00,47.2
2018/9/17 0:00,47.2
2018/9/17 0:00,47.2
2018/9/17 0:00,47.2
2018/9/17 0:00,47.6
2018/9/17 0:00,47.6
2018/9/17 0:00,47.6
2018/9/17 0:00,47.6
2018/9/17 0:00,47.2
2018/9/17 0:00,47.2
2018/9/17 0:00,47.2
2018/9/17 0:00,46.4
2018/9/17 0:00,46.4
2018/9/17 0:00,46.4
2018/9/17 0:00,46.4
2018/9/17 0:00,46.4
2018/9/17 0:00,46.4
2018/9/17 0:00,46.4
2018/9/17 0:00,47.2
2018/9/17 0:00,47.2
2018/9/17 0:00,47.2
2018/9/17 0:00,47.2
2018/9/17 0:00,47.6
2018/9/17 0:00,48
2018/9/17 0:00,48.4
2018/9/17 0:00,48.4
2018/9/17 0:00,48.4
2018/9/17 0:00,46
2018/9/17 0:00,46
2018/9/17 0:00,46
2018/9/17 0:00,46
2018/9/17 0:00,46
2018/9/17 0:00,46
2018/9/17 0:00,46
2018/9/17 0:00,46
2018/9/17 0:00,46
2018/9/17 0:00,46
2018/9/17 0:00,45.2
2018/9/17 0:00,45.2
2018/9/17 0:00,45.2
2018/9/17 0:00,45.2
2018/9/17 0:00,44.8
2018/9/17 0:00,44.8
2018/9/17 0:00,44.8
2018/9/17 0:00,44.8
2018/9/17 0:00,44.8
2018/9/17 0:00,44.8
2018/9/17 0:00,45.2
2018/9/17 0:00,45.2
2018/9/17 0:00,45.2
2018/9/17 0:00,45.6
2018/9/17 0:00,47.6
2018/9/17 0:00,47.6
2018/9/17 0:00,47.6
2018/9/17 0:00,47.6
2018/9/17 0:01,47.6
2018/9/17 0:01,47.6
2018/9/17 0:01,47.6
2018/9/17 0:01,47.6
2018/9/17 0:01,47.6
2018/9/17 0:01,47.6
2018/9/17 0:01,46.8
2018/9/17 0:01,46.4
2018/9/17 0:01,46.4
2018/9/17 0:01,46.4
2018/9/17 0:01,46.4
2018/9/17 0:01,46.4
2018/9/17 0:01,46.4
2018/9/17 0:01,46.4
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46.4
2018/9/17 0:01,46.4
2018/9/17 0:01,46.4
2018/9/17 0:01,46.4
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46
2018/9/17 0:01,46.4
2018/9/17 0:01,46.4
2018/9/17 0:01,46.4
2018/9/17 0:01,46.4
2018/9/17 0:01,46.4
2018/9/17 0:01,46.4
2018/9/17 0:01,46.4
2018/9/17 0:01,46.4
2018/9/17 0:01,46.4
2018/9/17 0:02,46.4
2018/9/17 0:02,46.4
2018/9/17 0:02,46.4
2018/9/17 0:02,46.4
2018/9/17 0:02,46.4
2018/9/17 0:02,46.4
2018/9/17 0:02,46.4
2018/9/17 0:02,44.4
2018/9/17 0:02,44.4
2018/9/17 0:02,44.4
2018/9/17 0:02,44.4
2018/9/17 0:02,44
2018/9/17 0:02,44
2018/9/17 0:02,44
2018/9/17 0:02,44
2018/9/17 0:02,44
2018/9/17 0:02,44
2018/9/17 0:02,44
2018/9/17 0:02,44
2018/9/17 0:02,44
2018/9/17 0:02,44
2018/9/17 0:02,44
2018/9/17 0:02,44
2018/9/17 0:02,44
2018/9/17 0:02,44
2018/9/17 0:02,44
2018/9/17 0:02,44
2018/9/17 0:02,44.4
2018/9/17 0:02,44.8
2018/9/17 0:02,44.8
2018/9/17 0:02,44.8
2018/9/17 0:02,44.8
2018/9/17 0:02,48
2018/9/17 0:02,48
2018/9/17 0:02,48
2018/9/17 0:02,48
2018/9/17 0:02,48
2018/9/17 0:02,48
2018/9/17 0:02,48
2018/9/17 0:02,48
2018/9/17 0:02,48
2018/9/17 0:02,48
2018/9/17 0:02,47.6
2018/9/17 0:02,47.6
2018/9/17 0:02,47.6
