"","x"
"1","565"
"2","566"
"3","567"
"4","568"
"5","569"
"6","570"
"7","571"
"8","572"
"9","573"
"10","574"
"11","575"
"12","576"
"13","577"
"14","578"
"15","579"
"16","580"
"17","581"
"18","601"
"19","602"
"20","603"
"21","604"
"22","605"
"23","606"
"24","607"
"25","608"
"26","609"
"27","610"
"28","611"
"29","612"
"30","613"
"31","614"
"32","615"
"33","616"
"34","617"
"35","636"
"36","637"
"37","638"
"38","639"
"39","640"
"40","641"
"41","642"
"42","643"
"43","665"
"44","666"
"45","667"
"46","668"
"47","669"
"48","670"
"49","671"
"50","672"
"51","673"
"52","674"
"53","675"
"54","676"
"55","677"
"56","678"
"57","679"
"58","680"
"59","681"
"60","682"
"61","683"
"62","684"
"63","685"
"64","686"
"65","708"
"66","709"
"67","710"
"68","711"
"69","712"
"70","713"
"71","714"
"72","715"
"73","716"
"74","717"
"75","718"
"76","719"
"77","720"
"78","721"
"79","722"
"80","723"
"81","724"
"82","725"
"83","726"
"84","727"
"85","728"
"86","729"
"87","730"
"88","748"
"89","749"
"90","750"
"91","751"
"92","752"
"93","753"
"94","754"
"95","755"
"96","756"
"97","757"
"98","758"
"99","870"
"100","871"
"101","872"
"102","873"
"103","874"
"104","875"
"105","876"
"106","877"
"107","878"
"108","879"
"109","880"
"110","881"
"111","882"
"112","883"
"113","884"
"114","885"
"115","886"
"116","887"
"117","888"
"118","889"
"119","890"
"120","891"
"121","892"
"122","893"
"123","894"
"124","895"
"125","896"
"126","897"
"127","954"
"128","955"
"129","956"
"130","957"
"131","958"
"132","959"
"133","960"
"134","961"
"135","962"
"136","963"
"137","964"
"138","965"
"139","966"
"140","967"
"141","968"
"142","969"
"143","970"
"144","971"
"145","972"
"146","973"
"147","974"
"148","975"
"149","976"
"150","977"
"151","978"
"152","979"
"153","980"
"154","981"
"155","1193"
"156","1194"
"157","1195"
"158","1196"
"159","1197"
"160","1198"
"161","1199"
"162","1200"
"163","1201"
"164","1202"
"165","1203"
"166","1204"
"167","1205"
"168","1206"
"169","1207"
"170","1223"
"171","1224"
"172","1225"
"173","1226"
"174","1227"
"175","1228"
"176","1229"
"177","1230"
"178","1231"
"179","1232"
"180","1233"
"181","1257"
"182","1258"
"183","1259"
"184","1260"
"185","1261"
"186","1262"
"187","1263"
"188","1264"
"189","1265"
"190","1266"
"191","1267"
"192","1268"
"193","1269"
"194","1270"
"195","1287"
"196","1288"
"197","1289"
"198","1290"
"199","1291"
"200","1292"
"201","1293"
"202","1294"
"203","1295"
"204","1296"
"205","1297"
"206","1298"
"207","1299"
"208","1315"
"209","1316"
"210","1317"
"211","1318"
"212","1319"
"213","1320"
"214","1321"
"215","1322"
"216","1323"
"217","1324"
"218","1325"
"219","1326"
"220","1327"
"221","1328"
"222","1343"
"223","1344"
"224","1345"
"225","1346"
"226","1347"
"227","1348"
"228","1349"
"229","1350"
"230","1351"
"231","1352"
"232","1353"
"233","1354"
"234","1355"
"235","1356"
"236","1357"
"237","1358"
"238","1373"
"239","1374"
"240","1375"
"241","1376"
"242","1377"
"243","1378"
"244","1379"
"245","1380"
"246","1381"
"247","1382"
"248","1383"
"249","1384"
"250","1385"
"251","1386"
"252","1387"
"253","1388"
"254","1389"
"255","1390"
"256","1391"
"257","1392"
"258","1393"
"259","1394"
"260","1395"
"261","1396"
"262","1397"
"263","1398"
"264","1399"
"265","1400"
